,Message Body,Message Title,Sent On,NOTIFICATION,INCIDENT / CLERY 1,INCIDENT / CLERY 2,LOC_D,DES1_D,DES2_D,PV_D,PS_D,LOC_S,DES1_S,DES2_S,PV_S,PS_S,LOC_C,DES1_C,DES2_C,PV_C,PS_C,LOC_E,DES1_E,DES2_E,PV_E,PS_E
220,[no message body],"Violent Crime Reported at West pathway of Bldg 14, Clark Kerr Campus - Please note this message may contain information that some may find upsetting.","Mar 07, 2023 23:33:37 PST",Timely Warning ,,None,,,,,,,,,,,Address / Specific Named,none,none,none,none,Address / Specific Named,none,none,none,none
221,[no message body],Community Advisory - North Bound Lane of Piedmont Blocked in Front of the Stadium.,"Mar 10, 2023 09:41:41 PST",Community Advisory ,,None,,,,,,,,,,,Radius / Area,none,none,none,none,Radius / Area,Safety Instructions / Tips,none,none,none
222,"Please note this message may contain information that some may find upsetting.

On 03-14-2023 09:45:00, a burglary occurred at University Village, Albany.

On 03/14/23, at about 0945 hours, a burglary occurred in the University Village in Albany. A prelimi","Burglary at University Village, Albany","Mar 14, 2023 11:28:32 PDT",Timely Warning ,Burglary,None,,,,,,,,,,,Address / Specific Named,none,none,none,none,Radius / Area,none,none,none,none
223,"UC Berkeley WarnMe: AVOID THE AREA of 2900 Block Dwight Way / East of Hillside Avenue (near Clark Kerr Campus) until further notice 03-14-202313:06:18.
Avoid the area of the 2900 block of Dwight Way east of Hillside Avenue (near Clark Kerr Campus) due to a ",UC Berkeley WarnMe: AVOID THE AREA of 2900 Block Dwight Way / East of Hillside Avenue (near Clark Kerr Campus)03-14-202313:06:18,"Mar 14, 2023 13:06:18 PDT",Emergency Notification,Incident: Environmental / Weather,None,,,,,,,,,,,Block,Safety Instructions / Tips,none,none,none,Block,Safety Instructions / Tips,none,none,none
224,"UC Berkeley WarnMe: AVOID THE AREA of 2900 Block Dwight Way / East of Hillside Avenue (near Clark Kerr Campus) until further notice 03-14-202317:58:53.
ALL CLEAR. The roadway is now clear and open to vehicle and pedestrian traffic. PG&E is still on site re ",UC Berkeley WarnMe: ALL CLEAR - 2900 Block Dwight Way / East of Hillside Avenue (near Clark Kerr Campus)03-14- 202317:58:53,"Mar 14, 2023 17:58:53 PDT",All Clear,Incident: Environmental / Weather,None,,,,,,,,,,,Block,Safety Instructions / Tips,none,none,none,Block,Safety Instructions / Tips,none,none,none
225,[no message body],Burglary at University Village Albany,"Mar 15, 2023 18:51:33 PDT",Timely Warning ,Burglary,None,,,,,,,,,,,Address / Specific Named,none,none,none,none,Radius / Area,none,none,none,none
226,"Please note this message may contain information that some may find upsetting.

On 03-18-2023 21:30:00, an aggravated assault occurred at 2900 block of Derby St. 

On 3/18/23 at about 9:30pm, four UC Berkeley Students were returning to Clark Kerr Campus wh",Violent Crime Reported at 2900 block of Derby St - Please note this message may contain information that some may find upsetting.,"Mar 18, 2023 23:23:21 PDT",Timely Warning ,Aggravated Assault,None,,,,,,,,,,,Block,none,none,none,none,Block,none,none,none,"No Race, Gender Neutral"
227,"UC Berkeley WarnMe: A High Wind, Rain alert has been issued for the UC Berkeley campus area. Please use caution when out of doors and follow health and safety recommendations. 03/21/2023 1653 hours
Due to severe wind and rain multiple trees and branc ",UC Berkeley WarnMe: Severe Weather Alert 03-21- 202315:54:03,"Mar 21, 2023 16:54:03 PDT",Emergency Notification,Incident: Environmental / Weather,None,,,,,,,,,,,All campus,Safety Instructions / Tips,none,none,none,All campus,Safety Instructions / Tips,none,none,none
228,"UC Berkeley WarnMe: AVOID THE AREA of Unit 3 (2400 Durant) Ave until further notice 03-24-202309:33:19.
Avoid the area of Unit 3 (2400 Durant Ave) ",UC Berkeley WarnMe: AVOID THE AREA of Unit 3 (2400 Durant) Ave03-24-202309:33:19,"Mar 24, 2023 09:33:19 PDT",Emergency Notification,Incident: Fire,None,,,,,,,,,,,Address / Specific Named,Safety Instructions / Tips,none,none,none,Address / Specific Named,Safety Instructions / Tips,none,none,none
229,"UC Berkeley WarnMe: AVOID THE AREA of Unit 3 (2400 Durant) Ave until further notice 03-24-202309:55:45.
Avoid the area of Unit 3 (2400 Durant Ave)
UPDATE: Small fire reported in Unit 3-Ida Sproul. Fire is under control. Fire crews still on scene and roads are closed. Continue to avoid the area.",UC Berkeley WarnMe: AVOID THE AREA of Unit 3 (2400 Durant) Ave03-24-202309:55:45,"Mar 24, 2023 09:55:46 PDT",All Clear,Incident: Fire,None,,,,,,,,,,,Address / Specific Named,Safety Instructions / Tips,none,none,none,Address / Specific Named,Safety Instructions / Tips,none,none,none
230,[no message body],UC Berkeley WarnMe: AVOID THE AREA of Unit 3 (2400 Durant) Ave03-24-202309:30:25,"Mar 24, 2023 10:30:25 PDT",Emergency Notification,,None,,,,,,,,,,,Address / Specific Named,Safety Instructions / Tips,none,none,none,Address / Specific Named,Safety Instructions / Tips,none,none,none
231,"Please note this message may contain information that some may find upsetting.

Community Advisory:

UCPD would like to remind the campus community about the following safety tips:
Use and encourage others to have a safe means of conveyance at all times",Community Advisory - Please note this message may contain information that some may find upsetting.,"Mar 26, 2023 22:13:58 PDT",Community Advisory ,None,None,,,,,,,,,,,All campus,Safety Instructions / Tips,none,none,none,All campus,Safety Instructions / Tips,none,none,none
232,"UC Berkeley WarnMe: AVOID THE AREA of Centennial between LHS and Botanical Gardens until further notice 04-05-202310:13:50.
Avoid the area of Centennial, between Lawrence Hall of Science and Botanical Gardens",UC Berkeley WarnMe: AVOID THE AREA of Centennial between LHS and Botanical Gardens04-05-202310:13:50,"Apr 05, 2023 10:13:50 PDT",Emergency Notification,,None,,,,,,,,,,,Radius / Area,Safety Instructions / Tips,none,none,none,Radius / Area,Safety Instructions / Tips,none,none,none
233,"""UC Berkeley WarnMe: AVOID THE AREA of Update - Centennial between LHS and Botanical Gardens until further notice 04-05-202310:24:13.
Avoid the area of Centennial, between Lawrence Hall of Science and Botanical Gardens due to a non injury traffic collision """,UC Berkeley WarnMe: AVOID THE AREA of Update - Centennial between LHS and Botanical Gardens04-05- 202310:24:13,"Apr 05, 2023 10:24:13 PDT",Emergency Notification,,None,,,,,,,,,,,Radius / Area,Safety Instructions / Tips,none,none,none,Radius / Area,Safety Instructions / Tips,none,none,none
234,Community Advisory: Today at 12 noon we will be conducting a test of the UC Berkeley Outdoor Warning Sirens. ,Community Advisory - Test of the UC Berkeley Outdoor Warning Sirens,"Apr 05, 2023 11:22:38 PDT",Community Advisory ,Incident: Environmental / Weather,None,,,,,,,,,,,All campus,none,none,none,none,All campus,Safety Instructions / Tips,none,none,none
235,[no message body],UC Berkeley WarnMe: ** All Clear ** Centennial between LHS and Botanical Gardens04-05-202311:43:08,"Apr 05, 2023 11:43:08 PDT",All Clear,,None,,,,,,,,,,,Radius / Area,Safety Instructions / Tips,none,none,none,Radius / Area,Safety Instructions / Tips,none,none,none
236,[no message body],Violent Crime Reported at Eucalyptus Grove - Please note this message may contain information that some may find upsetting.,"Apr 05, 2023 15:56:02 PDT",Timely Warning ,,None,,,,,,,,,,,Address / Specific Named,none,none,none,none,Address / Specific Named,none,none,none,none
237,[no message body],Violent Crime Reported at 2200 block of Hearst Ave - Please note this message may contain information that some may find upsetting.,"Apr 09, 2023 06:52:14 PDT",Timely Warning ,,None,,,,,,,,,,,Block,none,none,none,none,Block,none,none,none,none
238,[no message body],"Violent Crime Reported at Stephens Hall, UC Berkeley Campus - Please note this message may contain information that some may find upsetting.","Apr 09, 2023 10:16:34 PDT",Timely Warning ,,None,,,,,,,,,,,Address / Specific Named,none,none,none,none,Address / Specific Named,none,none,none,none
239,"Please note this message may contain information that some may find upsetting.

Community Advisory:

UCPD has received two recent reports of sexual battery occurring on campus.  The first was on Wednesday, April 5th, in the Eucalypt ",Community Advisory - Please note this message may contain information that some may find upsetting.,"Apr 10, 2023 12:59:36 PDT",Community Advisory ,,None,,,,,,,,,,,All campus,none,none,none,none,Address / Specific Named,none,none,none,none
240,[no message body],Community Advisory - Please note this message may contain information that some may find upsetting.,"Apr 10, 2023 13:02:12 PDT",Community Advisory ,,None,,,,,,,,,,,All campus,none,none,none,none,All campus,none,none,none,none
241,[no message body],Violent Crime Reported at Foothill Complex - Please note this message may contain information that some may find upsetting.,"Apr 11, 2023 03:04:13 PDT",Timely Warning ,,None,,,,,,,,,,,Address / Specific Named,none,none,none,none,Address / Specific Named,none,none,none,none
242,[no message body],Violent Crime Reported at Memorial Stadium - Please note this message may contain information that some may find upsetting.,"Apr 11, 2023 06:24:43 PDT",Timely Warning ,,None,,,,,,,,,,,Address / Specific Named,none,none,none,none,Address / Specific Named,none,none,none,none
243,[no message body],Community Advisory - Please note this message may contain information that some may find upsetting.,"Apr 11, 2023 16:44:08 PDT",Community Advisory ,,None,,,,,,,,,,,All campus,none,none,none,none,All campus,none,none,none,none
244,Community Advisory: Today at 12 noon we will be conducting a test of the UC Berkeley Outdoor Warning Sirens. ,Community Advisory - Test of the UC Berkeley Outdoor Warning Sirens,"Apr 12, 2023 10:30:00 PDT",Community Advisory ,Incident: Environmental / Weather,None,,,,,,,,,,,All campus,none,none,none,none,All campus,Safety Instructions / Tips,none,none,none
245,[no message body],Violent Crime Reported at Cesar Chavez - Please note this message may contain information that some may find upsetting.,"Apr 13, 2023 13:00:23 PDT",Timely Warning ,,None,,,,,,,,,,,Address / Specific Named,none,none,none,none,Address / Specific Named,none,none,none,none
246,[no message body],Community Message - Possible Missing Juvenile,"Apr 13, 2023 17:58:23 PDT",Community Advisory ,None,None,,,,,,,,,,,All campus,none,none,none,none,All campus,none,none,none,none
247,[no message body],Community Message - Possible Missing Juvenile,"Apr 13, 2023 18:06:37 PDT",Community Advisory ,None,None,,,,,,,,,,,All campus,none,none,none,none,All campus,none,none,none,none
248,[no message body],Community Message - Possible Missing Juvenile,"Apr 13, 2023 18:08:57 PDT",Community Advisory ,None,None,,,,,,,,,,,All campus,none,none,none,none,All campus,none,none,none,none
249,[no message body],** Update ** Juvenile located,"Apr 13, 2023 18:24:28 PDT",Community Advisory ,None,None,,,,,,,,,,,All campus,none,none,none,none,All campus,none,none,none,none
250,Community Message - Concert at Greek Theater. Expect delays due to heavy vehicle and pedestrian traffic until approximately 11pm,Community Message - Concert at Greek Theater. Expect delays due to heavy vehicle and pedestrian traffic until approximately 11pm,"Apr 19, 2023 17:07:59 PDT",Community Advisory ,None,None,,,,,,,,,,,Address / Specific Named,Safety Instructions / Tips,none,none,none,Address / Specific Named,Safety Instructions / Tips,none,none,none
251,Community Message - Concert at Greek Theater. Expect delays due to heavy vehicle and pedestrian traffic until approximately 11pm,"Community Message - Community Message - Concert at Greek Theater. Expect delays due to heavy vehicle and pedestrian traffic until approximately 11pm
","Apr 19, 2023 17:46:35 PDT",Community Advisory ,None,None,,,,,,,,,,,Address / Specific Named,Reconstructed Scenario,none,none,none,Address / Specific Named,Safety Instructions / Tips,none,none,none
252,UC Berkeley WarnMe: Update for AVOID THE AREA of Doe Library ALL CLEAR. Building clear - resume normal activity. 04- 23-202317:58:13.,"UC Berkeley WarnMe:
Update for AVOID THE
AREA of Doe Library ALL
CLEAR04-23-202317:58:13","Apr 23, 2023 17:58:13 PDT",All Clear,None,None,,,,,,,,,,,Address / Specific Named,Safety Instructions / Tips,none,none,none,Address / Specific Named,Safety Instructions / Tips,none,none,none
253,"Please note this message may contain information that some may find upsetting.
On 04-29-2023 18:52:00, a robbery occurred at 2400 block of College Ave.
On 4/29/2023 at about 1852hrs a strong arm robbery occurred on the 2400 block of college Ave. The victim was sitting at the bus stop when two suspects approached the victim and stole the victim’s cell phone and other items. The suspects were last seen leaving the area in a grey Acura, being driven by a third suspect.",Violent Crime Reported at 2400 block of College Ave - Please note this message may contain information that some may find upsetting.,"Apr 29, 2023 20:06:29 PDT",Timely Warning ,Robbery,None,,,,,,,,,,,Block,none,none,none,none,Block,Reconstructed Scenario,none,"No Race, Gender Neutral","No Race, Gender Neutral"
254,"Please note this message may contain information that some may find upsetting.
On 04-27-2023 21:45:00, a sexual battery occurred at Sather Gate.
On 04/27/2023, at approximately 2145 hours, the victim was approached at Sather Gate and inappropriately touched on their buttocks. The suspect was described as a male, in his 40's, standing at about 5""11. The suspect was wearing a Black Polo, brown/khaki pants, and a black back pack. The suspect left the area in an unknown direction.
If you have any information about this crime, or if you know of any similar incidents please contact: UCPD (510) 642-6760",Violent Crime Reported at Sather Gate - Please note this message may contain information that some may find upsetting.,"Apr 27, 2023 22:26:05 PDT",Timely Warning ,Sexual Battery,None,,,,,,,,,,,Address / Specific Named,Touch ,none,none,"Gender, No Race",Address / Specific Named,Touch ,Reconstructed Scenario,"No Race, Gender Neutral","Gender, No Race"
255,"Please note this message may contain information that some may find upsetting.
On 04-27-2023 21:45:00, a sexual battery occurred at Sather Gate.
On 04/27/2023, at approximately 2145 hours, the victim was approached at Sather Gate and inappropriately touched on their buttocks. The suspect was described as a male, in his 40's, standing at about 5""11. The suspect was wearing a Black Polo, brown/khaki pants, and a black back pack. The suspect left the area in an unknown direction.
update: Suspect had a blue polo on not black.
Case #23-01155",Violent Crime Reported at Sather Gate - Please note this message may contain information that some may find upsetting.,"Apr 27, 2023 23:13:39 PDT",Timely Warning ,Sexual Battery,None,,,,,,,,,,,Address / Specific Named,Touch ,none,none,"Gender, No Race",Address / Specific Named,Touch ,Reconstructed Scenario,"No Race, Gender Neutral","Gender, No Race"
256,"Please note this message may contain information that some may find upsetting.
On 05-07-2023 23:25:00, an aggravated assault occurred at 2200 Block of Bancroft Way.
On 5/7/23 at about 11:25pm an individual driving in a Silver Mercedes Benz shot a victim with a BB gun as they walked on the 2200 block of Bancroft Way. The Mercedes Benz fled the area.",Violent Crime Reported at 2200 Block of Bancroft Way - Please note this message may contain information that some may find upsetting.,"May 08, 2023 02:45:50 PDT",Timely Warning ,Aggravated Assault,None,,,,,,,,,,,Block,none,none,none,none,Block,Memorable detail,Reconstructed Scenario,"No Race, Gender Neutral","No Race, Gender Neutral"
257,"(Berkeley, CA) The University of California, Berkeley Police Department will hold Active Threat Response Training sessions on the UC Berkeley campus this weekend. There will be no disturbance to scheduled campus events. Active Threat Response Training is conducted annually to ensure emergency personnel remain proficient in the best methods for ensuring community safety, should such an event occur in our community. During the training, instructors will evaluate the performance of our police officers, supervisors and dispatchers.
Only crisis management personnel will be permitted inside the training exercise area. For more information, contact: Public Information",Community Message - UC Berkeley Police Department to Hold Active Threat Response Training,"May 20, 2023 07:01:25 PDT",Community Advisory ,None,None,,,,,,,,,,,All campus,Safety Instructions / Tips,none,none,none,All campus,Safety Instructions / Tips,none,none,none
258,"Please note this message may contain information that some may find upsetting.
On 05-26-2023 20:27:00, a robbery occurred on the 2400 block Bowditch St, Berkeley.
On 5/26/23 at approximately 2027 hrs, a robbery via gun occurred on the 2400 block of Bowditch St. A group of approximately three suspects approached the victim and surrounded her, one of which displayed a gun. The suspect(s) took a purse and cell phone. The suspects left the area in a black Audi style sedan, N/B on Bowditch St.
If you have any information contact the Berkeley Police Dept","Violent Crime Reported at 2400 block Bowditch St, Berkeley - Please note this message may contain information that some may find upsetting.","May 26, 2023 23:20:11 PDT",Timely Warning ,Robbery,None,,,,,,,,,,,Block,none,none,"Gender, No Race",none,Block,Reconstructed Scenario,none,"Gender, No Race","No Race, Gender Neutral"
259,"
UC Berkeley WarnMe: A fire has been reported at University Village BLDG 105 106 107. Evacuate to your Emergency Assembly Area if you are in the building. Please stay clear of responders in the area. 05- 29-202311:35:36",UC Berkeley WarnMe: Fire at University Village 755 Ohlone Ave BLDG 104 105 106 107 - AVOID THE AREA 05-29-202311:35:36,"May 29, 2023 11:35:37 PDT",Emergency Notification,Incident: Fire,None,,,,,,,,,,,Address / Specific Named,Safety Instructions / Tips,none,none,none,Address / Specific Named,Safety Instructions / Tips,none,none,none
260,UC Berkeley WarnMe: Update on the fire that has been reported at University Village Albany 755 Ohlone Ave BLDG 104 105 106 107. Continue to stay out of the area - Police and Fire Department in area 05-29- 202311:54:48,UC Berkeley WarnMe: Update on Fire at University Village Albany 755 Ohlone Ave BLDG 104 105 106 107 05-29- 202311:54:48,"May 29, 2023 11:54:48 PDT",Timely Warning ,Incident: Fire,None,,,,,,,,,,,Address / Specific Named,Safety Instructions / Tips,none,none,none,Address / Specific Named,Safety Instructions / Tips,none,none,none
261,"UC Berkeley WarnMe: Update on the fire that has been reported at University Village Albany 755 Ohlone Ave BLDG 104 105 106 107. Fire is out, but investigation is ongoing. Continue to stay out of the area if possible.05-29- 202313:13:30",UC Berkeley WarnMe: Update on Fire at University Village Albany 755 Ohlone Ave BLDG 104 105 106 107 05-29- 202313:13:30,"May 29, 2023 13:13:30 PDT",Timely Warning ,Incident: Fire,None,,,,,,,,,,,Address / Specific Named,Safety Instructions / Tips,none,none,none,Address / Specific Named,Safety Instructions / Tips,none,none,none
262,"UC Berkeley WarnMe: Update on the fire that has been reported at ALL CLEAR - University Village Albany 755 Ohlone Ave BLDG 104 105 106 107. All clear, resume normal activity.05- 29-202314:20:58",UC Berkeley WarnMe: Update on Fire at ALL CLEAR - University Village Albany 755 Ohlone Ave BLDG 104 105 106 107 05- 29-202314:20:58,"May 29, 2023 14:20:58 PDT",All Clear,Incident: Fire,None,,,,,,,,,,,Address / Specific Named,Safety Instructions / Tips,none,none,none,Address / Specific Named,Safety Instructions / Tips,none,none,none
263,"Please note this message may contain information that some may find upsetting.
On 06-01-2023 00:45:00, a robbery occurred at 2400 Block Durant Ave.
On 6/1/23 at approximately 0045 hours, a robbery occurred via gun on the 2400 block of Durant Ave. The unknown suspect wearing all black clothing exited a silver sedan vehicle from the passenger side and approached the victim, displaying a handgun. The suspect got back into the vehicle and was last seen E/B on Durant Ave.
If you have any information contact BPD
Case #23-26437",Violent Crime Reported at 2400 Block Durant Ave - Please note this message may contain information that some may find upsetting.,"Jun 01, 2023 02:11:13 PDT",Timely Warning ,Robbery,None,,,,,,,,,,,Block,none,none,none,none,Block,Reconstructed Scenario,none,"No Race, Gender Neutral","No Race, Gender Neutral"
264,"Please note this message may contain information that some may find upsetting.
On 06-07-2023 00:00:00, a burglary occurred at Richmond Field Station (RFS).
UCPD received a report regarding $2000 worth of copper wire was stolen out of Richmond Field Station, building 114 between the time of 06/06/23 5pm - 06/07/23 7am. There are no suspects identified at this moment. This case is under investigation.",Burglary at Richmond Field Station (RFS),"Jun 07, 2023 18:38:11 PDT",Timely Warning ,Burglary,None,,,,,,,,,,,Address / Specific Named,Memorable detail,none,none,none,Address / Specific Named,Memorable detail,none,none,none
265,"Please note this message may contain information that some may find upsetting.
On 06-19-2023 02:00:00, a burglary occurred at Richmond Field Station.
On 06/20/23, UCPD received a report of a burglary at the Richmond Field Station, building #153. Per the report, unknown suspects stole valuable tools and other materials from the building. The burglary occurred sometime between 06/18/23, 3:00 am to 06/20/23, 1:30 pm. No suspect(s) have been identified and the case is under investigation. UCPD case #23-01589.",Burglary at Richmond Field Station,"Jun 20, 2023 15:37:25 PDT",Timely Warning ,Burglary,None,,,,,,,,,,,Address / Specific Named,none,none,none,none,Address / Specific Named,Memorable detail,none,none,none
266,"Please note this message may contain information that some may find upsetting.
Community Advisory: The Berkeley Police Department (510-981-5900) is investigating a violent crime in the area of Haste Street & College Ave. Please avoid the area.",Community Advisory - Please note this message may contain information that some may find upsetting.,"Jun 21, 2023 04:32:45 PDT",Community Advisory ,Incident: Police Activity,None,,,,,,,,,,,Intersection,none,none,none,none,Intersection,Safety Instructions / Tips,none,none,none
267,"Please note this message may contain information that some may find upsetting.
Community Advisory:
The Berkeley Police Department (510-981-5900) is investigating a violent crime in the area of Haste Street & College Ave. Please avoid the area.",Community Advisory - Please note this message may contain information that some may find upsetting.,"Jun 21, 2023 04:38:21 PDT",Community Advisory ,Incident: Police Activity,None,,,,,,,,,,,Intersection,none,none,none,none,Intersection,Safety Instructions / Tips,none,none,none
268,"On July 4th at 5am, Centennial Dr between Stadium Rim Way and Grizzly Peak Blvd & Grizzly Peak Blvd from Centennial Dr to Claremont Ave will be closed for 24hrs",Community Message - 4th of July Road Closures - Grizzly Peak Blvd & Centennial Dr.,"Jun 30, 2023 13:42:28 PDT",Community Advisory ,None,None,,,,,,,,,,,Radius / Area,Safety Instructions / Tips,none,none,none,Radius / Area,Safety Instructions / Tips,none,none,none
269,"Please note this message may contain information that some may find upsetting.
On 07-03-2023 21:00:00, a burglary occurred at Physics North Building.
On 7/3/23 between 2100 and 2200, a burglary occurred in the Physics North Building. An unknown suspect entered a locked janitorial closet on the third floor, via unknown means, and stole a cell phone and charger.
UCPD Case #23-01700",Burglary at Physics North Building,"Jul 04, 2023 07:09:53 PDT",Timely Warning ,Burglary,None,,,,,,,,,,,Address / Specific Named,none,none,none,none,Address / Specific Named,Reconstructed Scenario,none,none,"No Race, Gender Neutral"
270,"On 07-07-2023 22:00:00, a burglary occurred at Unit 2 - Ehrman Hall, 2650 Haste St, Berkeley.
On 07/07/23, between 1800 and 2200 hours, a burglary occurred at Unit 2 - Ehrman Hall. A digital camera was stolen by an unknown suspect from an office inside the building. This case is under investigation. UCPD Case #23-01741","Burglary at Unit 2 - Ehrman Hall, 2650 Haste St, Berkeley","Jul 10, 2023 17:13:57 PDT",Timely Warning ,Burglary,None,,,,,,,,,,,Address / Specific Named,none,none,none,none,Address / Specific Named,none,none,none,"No Race, Gender Neutral"
271,"On 07-20-2023 11:00:00, a burglary occurred at University Village Albany (UVA).
Resident of UVA was startled by an unidentified suspect that entered her apartment. Suspect is outstanding and possibly fled westbound.",Burglary at University Village Albany (UVA),"Jul 20, 2023 11:15:18 PDT",Timely Warning ,Burglary,None,,,,,,,,,,,Address / Specific Named,none,none,"Gender, No Race",none,Radius / Area,none,none,none,"No Race, Gender Neutral"
272,"Please note this message may contain information that some may find upsetting.
On 07-20-2023 11:00:00, a burglary occurred at University Village Albany (UVA).
Update: UCPD confirmed and identified possible suspect. The possible suspect was a facilities worker performing his normal on the job duties. It was not a burglary and no crime occurred.
Please note this message may contain information that some may find upsetting.",Burglary at University Village Albany (UVA),"Jul 20, 2023 11:50:50 PDT",Timely Warning ,Burglary,None,,,,,,,,,,,Address / Specific Named,none,none,none,none,Radius / Area,Memorable detail,none,none,"Gender, No Race"
273,"Please note this message may contain information that some may find upsetting.
On 07-22-2023 04:00:00, a burglary occurred at Northgate Hall.
On 7/22/2023 at approximately 0400hrs, two suspects climbed to the second floor of Northgate Hall, broke a window and burglarized the building. Please note this message may contain information that some may find upsetting.",Burglary at Northgate Hall,"Jul 24, 2023 05:41:37 PDT",Timely Warning ,Burglary,None,,,,,,,,,,,Address / Specific Named,none,none,none,none,Address / Specific Named,Reconstructed Scenario,none,none,"Gender, No Race"
274,"Community Advisory: There is currently a test of the UC Berkeley Outdoor Early Warning System. Please do not be alarmed. This is only a test. The test is part of the campus emergency preparedness program and it will last less than a minute. The message on the system states, ""This is a test of the UC Berkeley Outdoor Early Warning System. This is only a test. This is a test of the UC Berkeley Outdoor Early Warning System. This is only a test. [10-second outdoor audible siren] That was a test of the UC Berkeley Outdoor Warning System. The test is now complete. Thank you.""
Whenever the UC Berkeley Outdoor Early Warning System sounds, you should also receive a written message. If you would like to receive these messages",Community Advisory - Test of the UC Berkeley Outdoor Early Warning System,"Aug 02, 2023 12:00:00 PDT",Community Advisory ,,None,,,,,,,,,,,All campus,Safety Instructions / Tips,none,none,none,All campus,Safety Instructions / Tips,none,none,none
275,"Please note this message may contain information that some may find upsetting.
On 08-10-2023 21:03:00, an aggravated assault occurred at Bancroft Way at Bowditch St.
On 8/10/23 at approximately 2103 hours, an aggravated assault occurred on Bancroft Way at Bowditch St. A gray Kia style vehicle struck a person at the intersection. The driver was described as male approximately 55 yrs old. The vehicle left the area W/B Bancroft Way.
If you have any information please contact BPD Case #23-38622",Bancroft Way at Bowditch St - Violent Crime Reported - Please note this message may contain information that some may find upsetting.,"Aug 10, 2023 22:47:04 PDT",Timely Warning ,Aggravated Assault,None,,,,,,,,,,,Intersection,none,none,none,"Gender, No Race",Intersection,Reconstructed Scenario,none,"No Race, Gender Neutral","Gender, No Race"
276,"Please note this message may contain information that some may find upsetting.
On 08-13-2023 23:26:00, an aggravated assault occurred at Bancroft Way, near Telegraph Ave.
On 8-13-2023 at about 2326hrs, an aggravated assault happened on Bancroft Way, near Telegraph Ave. The victim was walking on the sidewalk when an unknown suspect shot at the victim with an ""Orbeez"" style pellet gun, from a black Mercedes sedan. The victim was not injured. The car and suspect then fled the area.","Bancroft Way, near Telegraph Ave - Violent Crime Reported - Please note this message may contain information that some may find upsetting.","Aug 14, 2023 00:35:49 PDT",Timely Warning ,Aggravated Assault,None,,,,,,,,,,,Radius / Area,none,none,none,none,Radius / Area,Reconstructed Scenario,Memorable detail,"No Race, Gender Neutral","No Race, Gender Neutral"
277,"Please note this message may contain information that some may find upsetting.
On 08-14-2023 13:00:00, a robbery occurred at Foothill Parking Lot.
A Robbery was attempted on persons who were seated in their parked vehicle. The suspect was armed with a pistol in his pocket and a screw driver in his hand. As the suspect attempted to break the car window with the screw driver, the victims reversed and drove away.",Foothill Parking Lot - Violent Crime Reported - Please note this message may contain information that some may find upsetting.,"Aug 14, 2023 14:35:46 PDT",Timely Warning ,Robbery,None,,,,,,,,,,,Address / Specific Named,none,none,none,none,Address / Specific Named,Reconstructed Scenario,Memorable detail,"No Race, Gender Neutral","Gender, No Race"
278,"Please note this message may contain information that some may find upsetting.
On 08-14-2023 13:00:00, a robbery occurred at Witter Parking Lot.
A UC Berkeley WarnMe was sent out earlier this afternoon for a violent crime reported to UCPD. Initially, the location of the crime was believed to be Foothill Lot. Upon further investigation, the actual location of the crime - what was believed to be an attempted carjacking - was Witter Lot, near the Cal Memorial Stadium. The investigation into this case is ongoing and anyone with information about the above crime is encourage to contact UCPD at 510-642- 6760.",Witter Parking Lot - Violent Crime Reported - Please note this message may contain information that some may find upsetting.,"Aug 14, 2023 16:56:53 PDT",Timely Warning ,Robbery,None,,,,,,,,,,,Address / Specific Named,none,none,none,none,Address / Specific Named,Reconstructed Scenario,Memorable detail,"No Race, Gender Neutral","Gender, No Race"
279,"Please note this message may contain information that some may find upsetting.
On 08-14-2023 22:49:00, a robbery occurred at Dwight Way and College Ave.
On 8/14/2023 at about 2249hrs, a victim was robbed in the area of Dwight Way and College Ave. Three suspects, with at least one armed with a gun, approached the victim and stole their car. The suspects fled the area in a white sedan and the victim's car.",Dwight Way and College Ave - Violent Crime Reported - Please note this message may contain information that some may find upsetting.,"Aug 15, 2023 05:04:09 PDT",Timely Warning ,Robbery,None,,,,,,,,,,,Intersection,none,none,none,none,Intersection,Reconstructed Scenario,none,"No Race, Gender Neutral","No Race, Gender Neutral"
280,"Please note this message may contain information that some may find upsetting.
On 08-20-2023 15:05:00, an aggravated assault occurred at 2503 Haste St, Berkeley.
On the above date and time, an unknown black male subject, in his 40's, used a cane or stick to hit at least two individuals near the Enclave Apartments. The male also issued threats to seriously harm or kill other unknown individuals. The male suspect was not apprehended and the case is under investigation. Berkeley PD case #23-40338 and UCPD case #23-02134.","2503 Haste St, Berkeley - Violent Crime Reported - Please note this message may contain information that some may find upsetting.","Aug 20, 2023 15:51:32 PDT",Timely Warning ,Aggravated Assault,None,,,,,,,,,,,Address / Specific Named,none,none,none,"Race, Gender",Address / Specific Named,Reconstructed Scenario,Touch ,"No Race, Gender Neutral","Race, Gender"
